"ID_PERSON";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_PERSON";"ID_TMDB_WIKIDATA";"NAME";"ADULT"
"1293393";"Q109051199";"nm5813286";"1293393";;"Kara Eberle";"0"
"1293932";"Q135975064";"nm5741813";"1293932";;"Dinesh Mangaluru";"0"
"1294394";"Q136350406";"nm1385954";"1294394";;"Lee Byung-hoon";"0"
"1294673";"Q717602";"nm0693620";"1294673";;"Jacques Poulin";"0"
"1295417";"Q20445094";"nm4535657";"1295417";;"Kim Jong-soo";"0"
"1295938";"Q136439020";"nm1283926";"1295938";;"Trần Thị Bích Ngọc";"0"
"1296010";"Q136130089";"nm2169749";"1296010";;"Mickey Faerch";"0"
"1296122";"Q136350588";"nm4695339";"1296122";;"Chung Dae-hoon";"0"
"1296236";"Q136396429";"nm0753192";"1296236";;"Ryck Rydon";"0"
"1297606";"Q1328290";"nm0879568";"1297606";;"Sándor Török";"0"
"1297954";"Q117037469";"nm2453011";"1297954";;"Arūnas Stoškus";"0"
"1298117";"Q136367814";"nm0223171";"1298117";;"Sri Dewi";"0"
"1299177";"Q95685409";"nm6062917";"1299177";;"Christina Emig-Könning";"0"
"1299281";"Q69697161";"nm4300257";"2482161";;"Park Min-jeong";"0"
"1301949";"Q27926908";"nm0009280";"1301949";;"Zivit Abramson";"0"
"1304067";"Q135699245";"nm0468016";"1304067";;"Narcisse Kouokam";"0"
"1304697";"Q8073601";"nm0203095";"1304697";;"Zoltán David";"0"
"1307398";"Q129293850";"nm4538068";"1307398";;"Surjith";"0"
"1308084";"Q135917870";"nm0890240";"1308084";;"Zare Vartanian";"0"
"1308085";"Q5610411";"nm0169311";"958927";;"David Cohen";"0"
"1308572";"Q104862751";"nm3366972";"1308572";;"Ana Abad Santos";"0"
"1309282";"Q6180299";"nm1339184";"113579";;"Jeong Yun-cheol";"0"
"1310966";"Q3643103";"nm5161984";"1310966";;"Bles Bridges";"0"
"1311380";"Q28861423";"nm0158652";"0";;"Jo Sun-mook";"0"
"1314860";"Q16837254";"nm5325802";"3342204";;"Jordi Roca";"0"
"1316985";"Q16547012";"nm4579785";"0";;"Simon Ostrovsky";"0"
"1318474";"Q126083577";"nm1065020";"1318474";;"Daria D'Antonio";"0"
