"ID_SERIE";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_SERIE";"ID_TMDB_WIKIDATA";"TITLE";"ADULT"
"276292";"Q131926816";"tt34269065";"0";;"Jerry Springer: Fights, Camera, Action";"0"
"277295";"Q134707504";"tt37458105";"0";;"O Senhor e a Serva";"0"
"277547";"Q10670886";"tt1530519";"0";;"Skägget i brevlådan";"0"
"279601";"Q135440765";"tt35047134";"0";;"Man Vs Baby";"0"
"280750";"Q125020373";"tt31319003";"1249230";;"Sagan om ABBA";"0"
"281011";"Q135043115";"tt38220632";"0";;"Would You Marry Me?";"0"
"284683";"Q9208545";"tt0171991";"0";;"Doktor Murek";"0"
"285768";"Q134719968";"tt38267961";"0";;"The Good, the Bad, and the Ugly";"0"
"285770";"Q135818774";"tt37506062";"0";;"Nice to Not Meet You";"0"
"285889";"Q135106534";"tt32151286";"0";;"Playback: Together We Are One";"0"
"286116";"Q134707060";"tt32292856";"0";;"Hundertdreizehn";"0"
"286515";"Q22294693";"tt0061258";"0";;"Gumman som blev liten som en tesked";"0"
"287288";"Q3910119";"tt1680043";"121576";;"Saint Philip Neri: I Prefer Heaven";"0"
"289567";"Q135760374";"tt33078075";"0";;"DMV";"0"
"293298";"Q136005516";"tt37202552";"0";;"Most Wanted: Teen Hacker";"0"
"294061";"Q136392172";"tt35918291";"0";;"Nordin";"0"
"297674";"Q136472205";"tt36590024";"0";;"On Brand with Jimmy Fallon";"0"
"299201";"Q4824734";"tt0310416";"0";;"Australian Survivor";"0"
"299640";"Q126422846";"tt27073388";"0";;"Disventure Camp";"0"
"299800";"Q136467600";"tt38593243";"0";;"Pray Speak What Has Happened";"0"
"300999";"Q136451146";"tt38362312";"0";;"True Haunting";"0"
"301373";"Q136489779";"tt38351252";"0";;"Stranger in the Mirror";"0"
"301859";"Q136510005";"tt36305770";"0";;"Blaž među ženama";"0"
"302508";"Q21512646";"tt2397912";"0";;"Face au doute";"0"
"302526";"Q18291064";"tt7667900";"0";;"Julia och nattpappan";"0"
"302528";"Q3133572";"tt0278184";"0";;"Droge voeding kassa 4";"0"
"302529";"Q91123569";"tt0419342";"0";;"Kajsas Ko";"0"
"302559";"Q10339426";"tt0209692";"0";;"O Meu Pé de Laranja Lima";"0"
"302628";"Q127039790";"tt32765650";"0";;"Ishq Jabariya";"0"
"302773";"Q12124764";"tt0095297";"81617";;"The Heroes";"0"
"302913";"Q48814974";"tt4479494";"0";;"Rock Arena";"0"
"303072";"Q136431820";"tt38566460";"0";;"Sicilia Express";"0"
"303080";"Q5487996";"tt0470021";"0";;"Uudisraivaaja";"0"
"303125";"Q107340672";"tt0209721";"0";;"Pacto de Sangue";"0"
"303163";"Q40548889";"tt1137693";"0";;"Rakkauden nälkä";"0"
"303170";"Q112675539";"tt2167125";"0";;"Mimi and Mr. Bobo";"0"
"303180";"Q133574819";"tt36331918";"0";;"Tystnaden";"0"
"303205";"Q16328062";"tt3600860";"0";;"Δια ταύτα";"0"
"303229";"Q4372139";"tt3949900";"0";;"Understand. Forgive";"0"
"303280";"Q131618968";"tt13927198";"0";;"En våldsam kärlek";"0"
"303340";"Q55639097";"tt8993360";"0";;"Aadade Aadharam";"0"
"303351";"Q136404689";"tt38553367";"0";;"The Case";"0"
"303368";"Q113509752";"tt5198010";"0";;"Dluhy Hany Zagorové";"0"
"303388";"Q2328731";"tt0303512";"0";;"Precious Pupp";"0"
"303392";"Q589097";"tt0278254";"0";;"Wally Gator";"0"
"303393";"Q48955171";"tt4854174";"0";;"Time Chose Us";"0"
"303435";"Q12959255";"tt0180917";"0";;"Priests Ćira and Spira";"0"
"303463";"Q124460467";"tt31189898";"0";;"Drunkard Morning";"0"
"303468";"Q2963168";"tt11370018";"0";;"Chez Mangaye";"0"
"303525";"Q2835240";"tt1641424";"0";;"Al Límite";"0"
"303606";"Q3893803";"tt0433614";"101280";;"A Judge of Honor";"0"
"303611";"Q6874843";"tt0216000";"253863";;"Mirza Ghalib";"0"
"303612";"Q3226606";"tt0280305";"0";;"Le roi qui vient du sud";"0"
"303617";"Q115010137";"tt1046680";"0";;"I mihani tou hronou";"0"
"303700";"Q2113520";"tt1977037";"323160";;"The Charterhouse of Parma";"0"
"303717";"Q2934095";"tt0469792";"103638";;"Callas & Onassis";"0"
